,accuracy,precision,recall,f1_score,auc,specificity,mcc,bestCutoff
et,0.8211764705882353,0.7437185929648241,0.8554913294797688,0.7956989247311828,0.9153821451509313,0.7976190476190477,0.6430269104604078,0.5
catboost,0.7929411764705883,0.7272727272727273,0.7861271676300579,0.7555555555555555,0.8423937975961098,0.7976190476190477,0.5777475572988817,0.5
gbc,0.7764705882352941,0.6857142857142857,0.8323699421965318,0.7519582245430809,0.8292503899440316,0.7380952380952381,0.5605619122360637,0.4
ada,0.7035294117647058,0.6192893401015228,0.7052023121387283,0.6594594594594594,0.7402055234425177,0.7023809523809523,0.4015495363874726,0.5
dt,0.6823529411764706,0.5848214285714286,0.7572254335260116,0.6599496221662469,0.6982636021653363,0.6309523809523809,0.3819724098324055,0.3
