,feature name,rank
1868,Moran_BHAR880101.lag3,185
3496,ABHPRK__57,186
2358,CKSAAP_GE.gap1,186
3741,Z5__70,188
3322,DDR_L,189
198,CTDC_polarizability.G2,190
3749,formula_N,192
3729,Z5__58,192
3710,Z5__39,192
1872,Moran_CHAM820102.lag1,194
3747,formula_C,195
3707,Z5__36,196
753,DDE_FA,197
3638,MSW__30,198
3663,Z3__22,199
3694,Z5__23,199
1837,APAAC_Pc2.Hydrophobicity.3,202
1907,NMBroto_CHAM810101.lag3,202
3727,Z5__56,202
261,CTDD_hydrophobicity_PONP930101.2.residue50,205
281,CTDD_hydrophobicity_CASG920101.3.residue50,205
3439,Calculate_charge,205
3558,Cougar__14,207
3684,Z5__13,208
318,CTDD_normwaalsvolume.1.residue100,209
3296,PAAC_Xc1.G,211
1864,Moran_CIDH920105.lag2,211
3708,Z5__37,211
3720,Z5__49,211
1833,APAAC_Pc2.Hydrophobicity.1,214
3541,Argos,215
3602,Ez__28,216
3310,PAAC_Xc2.lambda2,217
3642,Z3__1,218
1829,APAAC_Pc1.T,218
3687,Z5__16,220
390,CTDD_solventaccess.1.residue25,220
886,DDE_MQ,222
3311,PAAC_Xc2.lambda3,223
326,CTDD_normwaalsvolume.3.residue50,223
3735,Z5__64,225
3331,DDR_V,226
1873,Moran_CHAM820102.lag2,227
3733,Z5__62,227
3571,Cougar__27,229
204,CTDC_secondarystruct.G2,229
384,CTDD_secondarystruct.3.residue0,231
3292,PAAC_Xc1.D,233
3679,Z5__8,233
3682,Z5__11,233
3573,Cougar__29,233
3611,MSW__3,236
3724,Z5__53,237
3693,Z5__22,238
3637,MSW__29,238
34,CKSAAGP_postivecharger.uncharger.gap0,240
3433,QSO3_SC3,241
3657,Z3__16,242
3319,DDR_G,243
778,DDE_GG,244
3703,Z5__32,245
1021,DDE_VK,245
1822,APAAC_Pc1.I,247
3457,ABHPRK__13,248
1903,NMBroto_BIGC670101.lag2,248
3309,PAAC_Xc2.lambda1,250
1875,Moran_CHOC760101.lag1,250
1869,Moran_CHAM820101.lag1,252
1838,APAAC_Pc2.Hydrophilicity.3,253
3567,Cougar__23,254
956,DDE_RE,255
3699,Z5__28,256
3652,Z3__11,257
1428,GAAC_alphatic,258
369,CTDD_charge.3.residue0,259
1893,NMBroto_CHAM820101.lag1,259
1909,NMBroto_DAYM780201.lag2,261
1874,Moran_CHAM820102.lag3,262
1887,NMBroto_CIDH920105.lag1,262
362,CTDD_charge.1.residue75,264
3746,Z5__75,265
3629,MSW__21,266
3667,Z3__26,266
3633,MSW__25,268
3594,Ez__20,269
3606,Gravy,270
1813,APAAC_Pc1.A,270
1876,Moran_CHOC760101.lag2,272
2784,CKSAAP_LL.gap2,273
3456,ABHPRK__12,274
3304,PAAC_Xc1.S,275
3650,Z3__9,276
239,CTDD_hydrophobicity_ZIMJ680101.1.residue0,276
3618,MSW__10,278
1883,Moran_CHAM810101.lag3,279
3632,MSW__24,280
184,CTDC_hydrophobicity_CASG920101.G3,280
367,CTDD_charge.2.residue75,282
3731,Z5__60,284
3609,MSW__1,284
277,CTDD_hydrophobicity_CASG920101.2.residue75,284
3683,Z5__12,286
3631,MSW__23,287
1870,Moran_CHAM820101.lag2,288
263,CTDD_hydrophobicity_PONP930101.2.residue100,289
3568,Cougar__24,289
209,CTDD_hydrophobicity_PRAM900101.1.residue0,291
3716,Z5__45,292
267,CTDD_hydrophobicity_PONP930101.3.residue75,293
3620,MSW__12,294
1854,Geary_BIGC670101.lag1,295
936,DDE_QE,296
3563,Cougar__19,297
3515,ABHPRK__78,298
3755,Janin,299
1900,NMBroto_CHOC760101.lag2,300
84,CKSAAGP_postivecharger.uncharger.gap2,300
3686,Z5__15,302
3670,Z3__29,303
3579,Ez__5,304
3658,Z3__17,305
3742,Z5__71,305
3580,Ez__6,308
419,CTDT_hydrophobicity_ENGD860101.Tr1221,308
3712,Z5__41,308
3438,Calculate_mw,310
3298,PAAC_Xc1.I,310
344,CTDD_polarizability.1.residue0,312
3446,AASI,313
3680,Z5__9,315
3444,Aliphatic_Index,315
1557,GTPC_negativecharger.uncharger.uncharger,315
3660,Z3__19,317
3326,DDR_P,318
3431,QSO3_SC1,319
1851,Geary_CHOC760101.lag1,320
1877,Moran_CHOC760101.lag3,320
3628,MSW__20,322
3542,Bulkiness,322
3664,Z3__23,324
259,CTDD_hydrophobicity_PONP930101.2.residue0,325
315,CTDD_normwaalsvolume.1.residue25,326
3655,Z3__14,326
45,CKSAAGP_alphaticr.alphaticr.gap1,328
3711,Z5__40,329
3564,Cougar__20,330
3592,Ez__18,331
3572,Cougar__28,332
421,CTDT_hydrophobicity_ENGD860101.Tr2332,332
3520,ABHPRK__83,335
3588,Ez__14,335
3299,PAAC_Xc1.L,335
3737,Z5__66,337
847,DDE_KR,338
1862,Geary_DAYM780201.lag3,339
3736,Z5__65,339
3675,Z5__4,341
929,DDE_PT,342
3323,DDR_K,343
1861,Geary_DAYM780201.lag2,343
1057,DDE_YF,346
1885,Moran_DAYM780201.lag2,346
1897,NMBroto_CHAM820102.lag2,346
300,CTDD_hydrophobicity_FASG890101.1.residue25,348
424,CTDT_hydrophobicity_FASG890101.Tr2332,350
3603,Ez__29,350
3042,CKSAAP_GD.gap3,350
1826,APAAC_Pc1.F,352
310,CTDD_hydrophobicity_FASG890101.3.residue25,352
90,CKSAAGP_uncharger.alphaticr.gap2,354
3549,Cougar__5,354
1886,Moran_DAYM780201.lag3,357
314,CTDD_normwaalsvolume.1.residue0,357
3554,Cougar__10,357
3393,QSO3_SC_A,357
3653,Z3__12,360
368,CTDD_charge.2.residue100,360
3589,Ez__15,362
337,CTDD_polarity.2.residue75,363
3671,Z3__30,363
404,CTDT_hydrophobicity_PRAM900101.Tr1221,365
179,CTDC_hydrophobicity_PONP930101.G1,365
238,CTDD_hydrophobicity_ARGP820101.3.residue100,367
3607,Levitt_alpha,368
322,CTDD_normwaalsvolume.2.residue75,368
3719,Z5__48,370
3622,MSW__14,370
3610,MSW__2,372
989,DDE_ST,373
1840,Geary_CIDH920105.lag2,374
1853,Geary_CHOC760101.lag3,375
3709,Z5__38,375
3578,Ez__4,377
3394,QSO3_SC_R,377
3591,Ez__17,379
1836,APAAC_Pc2.Hydrophilicity.2,380
1901,NMBroto_CHOC760101.lag3,381
343,CTDD_polarity.3.residue100,382
303,CTDD_hydrophobicity_FASG890101.1.residue100,382
242,CTDD_hydrophobicity_ZIMJ680101.1.residue75,384
176,CTDC_hydrophobicity_ZIMJ680101.G1,385
3500,ABHPRK__62,387
1860,Geary_DAYM780201.lag1,387
3398,QSO3_SC_Q,387
3612,MSW__4,390
3678,Z5__7,390
856,DDE_LE,390
3649,Z3__8,392
1827,APAAC_Pc1.P,392
1857,Geary_CHAM810101.lag1,394
981,DDE_SK,394
409,CTDT_hydrophobicity_ARGP820101.Tr2332,396
1865,Moran_CIDH920105.lag3,396
3307,PAAC_Xc1.Y,398
1910,NMBroto_DAYM780201.lag3,399
1881,Moran_CHAM810101.lag1,399
3560,Cougar__16,401
383,CTDD_secondarystruct.2.residue100,401
3550,Cougar__6,404
3575,Ez__1,404
3643,Z3__2,404
1835,APAAC_Pc2.Hydrophobicity.2,406
1832,APAAC_Pc1.V,407
124,CKSAAGP_alphaticr.uncharger.gap4,408
1908,NMBroto_DAYM780201.lag1,409
3698,Z5__27,409
3726,Z5__55,412
262,CTDD_hydrophobicity_PONP930101.2.residue75,412
1884,Moran_DAYM780201.lag1,412
3552,Cougar__8,414
1856,Geary_BIGC670101.lag3,415
960,DDE_RI,416
3544,Charge_acid,417
320,CTDD_normwaalsvolume.2.residue25,418
3669,Z3__28,419
426,CTDT_normwaalsvolume.Tr1331,421
1843,Geary_BHAR880101.lag2,421
172,CTDC_hydrophobicity_PRAM900101.G3,421
441,CTDT_solventaccess.Tr1331,423
120,CKSAAGP_alphaticr.alphaticr.gap4,424
1824,APAAC_Pc1.K,425
350,CTDD_polarizability.2.residue25,425
1902,NMBroto_BIGC670101.lag1,427
3559,Cougar__15,428
3593,Ez__19,429
292,CTDD_hydrophobicity_ENGD860101.2.residue75,430
3321,DDR_I,430
1894,NMBroto_CHAM820101.lag2,432
3659,Z3__18,433
247,CTDD_hydrophobicity_ZIMJ680101.2.residue75,434
3596,Ez__22,435
236,CTDD_hydrophobicity_ARGP820101.3.residue50,436
3577,Ez__3,437
3601,Ez__27,438
3312,DDR_A,438
341,CTDD_polarity.3.residue50,440
316,CTDD_normwaalsvolume.1.residue50,441
192,CTDC_normwaalsvolume.G2,441
1898,NMBroto_CHAM820102.lag3,444
206,CTDC_solventaccess.G1,444
3328,DDR_T,444
423,CTDT_hydrophobicity_FASG890101.Tr1331,446
3690,Z5__19,447
3661,Z3__20,448
342,CTDD_polarity.3.residue75,449
1866,Moran_BHAR880101.lag1,450
493,CTriad_g2.g2.g5,450
1867,Moran_BHAR880101.lag2,452
3440,Charge_density,452
293,CTDD_hydrophobicity_ENGD860101.2.residue100,454
3562,Cougar__18,455
290,CTDD_hydrophobicity_ENGD860101.2.residue25,456
1828,APAAC_Pc1.S,457
1834,APAAC_Pc2.Hydrophilicity.1,457
402,CTDD_solventaccess.3.residue75,459
1839,Geary_CIDH920105.lag1,459
1820,APAAC_Pc1.G,461
3498,ABHPRK__59,462
3639,Polarity,463
216,CTDD_hydrophobicity_PRAM900101.2.residue50,464
825,DDE_IP,464
252,CTDD_hydrophobicity_ZIMJ680101.3.residue75,466
3654,Z3__13,467
1815,APAAC_Pc1.N,468
1855,Geary_BIGC670101.lag2,469
440,CTDT_solventaccess.Tr1221,470
382,CTDD_secondarystruct.2.residue75,470
257,CTDD_hydrophobicity_PONP930101.1.residue75,472
284,CTDD_hydrophobicity_ENGD860101.1.residue0,472
345,CTDD_polarizability.1.residue25,474
733,DDE_EA,475
3392,Shannon-Entropy,475
536,CTriad_g3.g3.g2,477
47,CKSAAGP_alphaticr.postivecharger.gap1,478
901,DDE_NK,479
1818,APAAC_Pc1.Q,481
246,CTDD_hydrophobicity_ZIMJ680101.2.residue50,481
226,CTDD_hydrophobicity_ARGP820101.1.residue50,481
3647,Z3__6,481
311,CTDD_hydrophobicity_FASG890101.3.residue50,485
278,CTDD_hydrophobicity_CASG920101.2.residue100,485
922,DDE_PL,485
432,CTDT_polarizability.Tr1331,487
3570,Cougar__26,488
286,CTDD_hydrophobicity_ENGD860101.1.residue50,488
1842,Geary_BHAR880101.lag1,490
214,CTDD_hydrophobicity_PRAM900101.2.residue0,491
3599,Ez__25,492
1880,Moran_BIGC670101.lag3,493
3313,DDR_R,493
1029,DDE_VT,495
788,DDE_GS,496
3514,ABHPRK__77,496
215,CTDD_hydrophobicity_PRAM900101.2.residue25,498
3626,MSW__18,498
411,CTDT_hydrophobicity_ZIMJ680101.Tr1331,500
3587,Ez__13,501
3502,ABHPRK__64,501
1823,APAAC_Pc1.L,503
430,CTDT_polarity.Tr2332,504
352,CTDD_polarizability.2.residue75,505
405,CTDT_hydrophobicity_PRAM900101.Tr1331,505
3608,MSS,507
3728,Z5__57,507
3551,Cougar__7,509
1889,NMBroto_CIDH920105.lag3,510
3527,ABHPRK__91,510
3627,MSW__19,512
381,CTDD_secondarystruct.2.residue50,513
3765,OVPC_Small,514
3400,QSO3_SC_G,514
265,CTDD_hydrophobicity_PONP930101.3.residue25,517
44,CKSAAGP_uncharger.uncharger.gap0,517
401,CTDD_solventaccess.3.residue50,517
3404,QSO3_SC_K,519
387,CTDD_secondarystruct.3.residue75,519
3479,ABHPRK__38,521
221,CTDD_hydrophobicity_PRAM900101.3.residue50,523
3689,Z5__18,523
251,CTDD_hydrophobicity_ZIMJ680101.3.residue50,523
3630,MSW__22,525
3740,Z5__69,526
3566,Cougar__22,528
427,CTDT_normwaalsvolume.Tr2332,528
389,CTDD_solventaccess.1.residue0,528
910,DDE_NV,531
3408,QSO3_SC_S,531
374,CTDD_secondarystruct.1.residue0,531
225,CTDD_hydrophobicity_ARGP820101.1.residue25,533
347,CTDD_polarizability.1.residue75,534
415,CTDT_hydrophobicity_PONP930101.Tr2332,534
1468,GTPC_alphaticr.postivecharger.alphaticr,536
3644,Z3__3,537
1848,Geary_CHAM820102.lag1,538
1871,Moran_CHAM820101.lag3,540
3545,Cougar__1,540
3318,DDR_E,540
195,CTDC_polarity.G2,542
3495,ABHPRK__56,543
3553,Cougar__9,543
42,CKSAAGP_uncharger.postivecharger.gap0,545
3700,Z5__29,546
304,CTDD_hydrophobicity_FASG890101.2.residue0,546
35,CKSAAGP_negativecharger.alphaticr.gap0,548
213,CTDD_hydrophobicity_PRAM900101.1.residue100,549
87,CKSAAGP_negativecharger.postivecharger.gap2,549
3598,Ez__24,551
407,CTDT_hydrophobicity_ARGP820101.Tr1221,552
862,DDE_LL,553
978,DDE_SG,554
3513,ABHPRK__76,555
3582,Ez__8,556
3316,DDR_C,557
244,CTDD_hydrophobicity_ZIMJ680101.2.residue0,558
3442,Instability_index,559
438,CTDT_secondarystruct.Tr1331,560
3289,PAAC_Xc1.A,560
67,CKSAAGP_uncharger.postivecharger.gap1,562
3561,Cougar__17,563
1899,NMBroto_CHOC760101.lag1,564
22,CKSAAGP_alphaticr.postivecharger.gap0,565
1852,Geary_CHOC760101.lag2,566
39,CKSAAGP_negativecharger.uncharger.gap0,567
340,CTDD_polarity.3.residue25,568
3763,OVPC_Tiny,569
177,CTDC_hydrophobicity_ZIMJ680101.G2,570
339,CTDD_polarity.3.residue0,571
140,CKSAAGP_uncharger.alphaticr.gap4,572
308,CTDD_hydrophobicity_FASG890101.2.residue100,573
3519,ABHPRK__82,574
3315,DDR_D,575
301,CTDD_hydrophobicity_FASG890101.1.residue50,576
406,CTDT_hydrophobicity_PRAM900101.Tr2332,577
858,DDE_LG,578
3508,ABHPRK__70,579
305,CTDD_hydrophobicity_FASG890101.2.residue25,580
399,CTDD_solventaccess.3.residue0,581
294,CTDD_hydrophobicity_ENGD860101.3.residue0,581
109,CKSAAGP_postivecharger.uncharger.gap3,583
328,CTDD_normwaalsvolume.3.residue100,584
144,CKSAAGP_uncharger.uncharger.gap4,584
3305,PAAC_Xc1.T,586
412,CTDT_hydrophobicity_ZIMJ680101.Tr2332,587
266,CTDD_hydrophobicity_PONP930101.3.residue50,588
388,CTDD_secondarystruct.3.residue100,589
3300,PAAC_Xc1.K,590
134,CKSAAGP_postivecharger.uncharger.gap4,591
1879,Moran_BIGC670101.lag2,592
240,CTDD_hydrophobicity_ZIMJ680101.1.residue25,593
224,CTDD_hydrophobicity_ARGP820101.1.residue0,594
285,CTDD_hydrophobicity_ENGD860101.1.residue25,595
130,CKSAAGP_postivecharger.alphaticr.gap4,596
366,CTDD_charge.2.residue50,597
297,CTDD_hydrophobicity_ENGD860101.3.residue75,598
1891,NMBroto_BHAR880101.lag2,598
149,CKSAAGP_alphaticr.uncharger.gap5,600
3478,ABHPRK__37,601
306,CTDD_hydrophobicity_FASG890101.2.residue50,602
148,CKSAAGP_alphaticr.negativecharger.gap5,603
408,CTDT_hydrophobicity_ARGP820101.Tr1331,603
287,CTDD_hydrophobicity_ENGD860101.1.residue75,605
3518,ABHPRK__81,606
3330,DDR_Y,607
3463,ABHPRK__19,608
3761,OVPC_Hydrophobic,609
1841,Geary_CIDH920105.lag3,610
3674,Z5__3,611
307,CTDD_hydrophobicity_FASG890101.2.residue75,612
