,feature name,rank
165,CKSAAGP_uncharger.alphaticr.gap5,761
186,CTDC_hydrophobicity_ENGD860101.G2,762
264,CTDD_hydrophobicity_PONP930101.3.residue0,763
302,CTDD_hydrophobicity_FASG890101.1.residue75,764
420,CTDT_hydrophobicity_ENGD860101.Tr1331,765
55,CKSAAGP_postivecharger.alphaticr.gap1,766
3521,ABHPRK__84,767
3028,CKSAAP_FI.gap3,768
3005,CKSAAP_ED.gap3,769
532,CTriad_g3.g2.g4,770
737,DDE_EF,771
1485,GTPC_aromatic.alphaticr.postivecharger,772
683,DDE_AM,773
3253,CKSAAP_VC.gap3,774
762,DDE_FL,775
2709,CKSAAP_GL.gap2,776
2916,CKSAAP_TY.gap2,777
2391,CKSAAP_IA.gap1,778
271,CTDD_hydrophobicity_CASG920101.1.residue50,779
233,CTDD_hydrophobicity_ARGP820101.2.residue100,780
1430,GAAC_postivecharge,780
269,CTDD_hydrophobicity_CASG920101.1.residue0,782
2572,CKSAAP_TV.gap1,783
189,CTDC_hydrophobicity_FASG890101.G2,784
3481,ABHPRK__40,785
10,AAC_L,786
64,CKSAAGP_negativecharger.uncharger.gap1,787
915,DDE_PD,788
338,CTDD_polarity.2.residue100,789
363,CTDD_charge.1.residue100,790
1,AAC_R,791
3501,ABHPRK__63,792
227,CTDD_hydrophobicity_ARGP820101.1.residue75,793
953,DDE_RA,794
80,CKSAAGP_postivecharger.alphaticr.gap2,795
30,CKSAAGP_postivecharger.alphaticr.gap0,796
3,AAC_D,797
1480,GTPC_alphaticr.uncharger.postivecharger,798
1581,GTPC_uncharger.uncharger.negativecharger,799
276,CTDD_hydrophobicity_CASG920101.2.residue50,800
211,CTDD_hydrophobicity_PRAM900101.1.residue50,801
1558,GTPC_uncharger.alphaticr.alphaticr,802
258,CTDD_hydrophobicity_PONP930101.1.residue100,803
218,CTDD_hydrophobicity_PRAM900101.2.residue100,804
790,DDE_GV,805
70,CKSAAGP_alphaticr.alphaticr.gap2,806
3395,QSO3_SC_N,807
365,CTDD_charge.2.residue25,808
3764,OVPC_Charged,809
748,DDE_ES,810
202,CTDC_charge.G3,811
270,CTDD_hydrophobicity_CASG920101.1.residue25,812
273,CTDD_hydrophobicity_CASG920101.1.residue100,813
96,CKSAAGP_alphaticr.aromatic.gap3,814
842,DDE_KL,815
98,CKSAAGP_alphaticr.negativecharger.gap3,816
117,CKSAAGP_uncharger.postivecharger.gap3,817
3820,OVP_Polar_C2,818
146,CKSAAGP_alphaticr.aromatic.gap5,819
210,CTDD_hydrophobicity_PRAM900101.1.residue25,820
1432,GAAC_uncharge,821
757,DDE_FF,822
743,DDE_EM,823
1462,GTPC_alphaticr.alphaticr.uncharger,824
3595,Ez__21,825
2929,CKSAAP_VQ.gap2,843
690,DDE_AV,843
101,CKSAAGP_aromatic.aromatic.gap3,843
775,DDE_GD,843
3484,ABHPRK__43,843
41,CKSAAGP_uncharger.aromatic.gap0,843
682,DDE_AL,843
3302,PAAC_Xc1.F,843
3401,QSO3_SC_H,843
43,CKSAAGP_uncharger.negativecharger.gap0,843
3785,OVP_Small_N2,843
19,AAC_V,843
2544,CKSAAP_SL.gap1,843
3834,OVP_Charged_C3,843
392,CTDD_solventaccess.1.residue75,843
145,CKSAAGP_alphaticr.alphaticr.gap5,843
14,AAC_P,843
958,DDE_RG,843
106,CKSAAGP_postivecharger.aromatic.gap3,843
3843,OVP_Tiny_C4,843
1825,APAAC_Pc1.M,843
85,CKSAAGP_negativecharger.alphaticr.gap2,843
664,CTriad_g6.g6.g2,843
201,CTDC_charge.G2,843
634,CTriad_g6.g1.g2,843
1005,DDE_TP,843
260,CTDD_hydrophobicity_PONP930101.2.residue25,843
756,DDE_FE,843
1068,DDE_YS,843
3528,ABHPRK__92,843
996,DDE_TE,843
1482,GTPC_alphaticr.uncharger.uncharger,843
491,CTriad_g2.g2.g3,843
688,DDE_AS,843
970,DDE_RV,843
980,DDE_SI,867
2675,CKSAAP_EP.gap2,867
164,CKSAAGP_negativecharger.uncharger.gap5,867
254,CTDD_hydrophobicity_PONP930101.1.residue0,867
676,DDE_AE,867
1472,GTPC_alphaticr.postivecharger.uncharger,867
359,CTDD_charge.1.residue0,867
208,CTDC_solventaccess.G3,867
836,DDE_KE,867
75,CKSAAGP_aromatic.alphaticr.gap2,867
155,CKSAAGP_postivecharger.alphaticr.gap5,867
116,CKSAAGP_uncharger.aromatic.gap3,867
3294,PAAC_Xc1.Q,867
114,CKSAAGP_negativecharger.uncharger.gap3,867
924,DDE_PN,876
895,DDE_ND,876
3486,ABHPRK__45,876
2359,CKSAAP_GF.gap1,916
827,DDE_IR,916
826,DDE_IQ,916
2400,CKSAAP_IL.gap1,916
136,CKSAAGP_negativecharger.aromatic.gap4,916
713,DDE_DA,916
728,DDE_DS,916
3174,CKSAAP_PQ.gap3,916
2434,CKSAAP_LG.gap1,916
2626,CKSAAP_AL.gap2,916
2755,CKSAAP_KA.gap2,916
1032,DDE_VY,916
968,DDE_RS,916
200,CTDC_charge.G1,916
3507,ABHPRK__69,916
789,DDE_GT,916
100,CKSAAGP_aromatic.alphaticr.gap3,916
1507,GTPC_aromatic.uncharger.uncharger,916
833,DDE_KA,916
2738,CKSAAP_ID.gap2,916
1562,GTPC_uncharger.alphaticr.uncharger,916
142,CKSAAGP_uncharger.postivecharger.gap4,916
2285,CKSAAP_AY.gap1,916
323,CTDD_normwaalsvolume.2.residue100,916
125,CKSAAGP_aromatic.alphaticr.gap4,916
108,CKSAAGP_postivecharger.negativecharger.gap3,916
1007,DDE_TR,916
787,DDE_GR,916
16,AAC_T,916
105,CKSAAGP_postivecharger.alphaticr.gap3,916
3833,OVP_Tiny_C3,916
1460,GTPC_alphaticr.alphaticr.postivecharger,916
1000,DDE_TI,916
1016,DDE_VE,916
104,CKSAAGP_aromatic.uncharger.gap3,916
993,DDE_TA,916
3773,OVP_Tiny_N1,916
3525,ABHPRK__89,916
3523,ABHPRK__87,916
3831,OVP_Hydrophobic_C3,916
1582,GTPC_uncharger.uncharger.uncharger,916
118,CKSAAGP_uncharger.negativecharger.gap3,916
977,DDE_SF,916
2706,CKSAAP_GH.gap2,916
975,DDE_SD,916
79,CKSAAGP_aromatic.uncharger.gap2,916
3842,OVP_Aliphatic_C4,916
835,DDE_KD,916
393,CTDD_solventaccess.1.residue100,916
3461,ABHPRK__17,916
2410,CKSAAP_KA.gap1,916
88,CKSAAGP_negativecharger.negativecharger.gap2,916
3306,PAAC_Xc1.W,916
761,DDE_FK,916
911,DDE_NW,916
237,CTDD_hydrophobicity_ARGP820101.3.residue75,916
732,DDE_DY,916
902,DDE_NL,916
865,DDE_LP,916
689,DDE_AT,916
3407,QSO3_SC_P,916
735,DDE_ED,916
171,CTDC_hydrophobicity_PRAM900101.G2,916
898,DDE_NG,916
3113,CKSAAP_LE.gap3,916
896,DDE_NE,916
346,CTDD_polarizability.1.residue50,916
1056,DDE_YE,916
68,CKSAAGP_uncharger.negativecharger.gap1,916
373,CTDD_charge.3.residue100,916
159,CKSAAGP_postivecharger.uncharger.gap5,916
71,CKSAAGP_alphaticr.aromatic.gap2,916
561,CTriad_g4.g1.g1,916
3485,ABHPRK__44,916
716,DDE_DE,916
3490,ABHPRK__50,916
721,DDE_DK,916
295,CTDD_hydrophobicity_ENGD860101.3.residue25,955
3811,OVP_Hydrophobic_C1,955
3825,OVP_Small_C2,967
3835,OVP_Small_C3,967
2493,CKSAAP_PP.gap1,967
152,CKSAAGP_aromatic.postivecharger.gap5,967
1020,DDE_VI,967
2839,CKSAAP_PP.gap2,967
8,AAC_H,967
861,DDE_LK,967
2780,CKSAAP_LG.gap2,967
3464,ABHPRK__20,967
167,CKSAAGP_uncharger.postivecharger.gap5,967
93,CKSAAGP_uncharger.negativecharger.gap2,967
428,CTDT_polarity.Tr1221,967
196,CTDC_polarity.G3,967
3466,ABHPRK__23,967
2682,CKSAAP_FA.gap2,967
2515,CKSAAP_QV.gap1,967
906,DDE_NQ,967
543,CTriad_g3.g4.g3,967
2308,CKSAAP_DM.gap1,967
243,CTDD_hydrophobicity_ZIMJ680101.1.residue100,967
685,DDE_AP,980
2371,CKSAAP_GT.gap1,980
1533,GTPC_negativecharger.alphaticr.alphaticr,980
2766,CKSAAP_KN.gap2,980
13,AAC_F,980
3839,OVP_Positive_C4,1076
2524,CKSAAP_RK.gap1,1076
3800,OVP_Polar_N4,1076
1510,GTPC_postivecharger.alphaticr.postivecharger,1076
1070,DDE_YV,1076
3202,CKSAAP_RI.gap3,1076
1512,GTPC_postivecharger.alphaticr.uncharger,1076
102,CKSAAGP_aromatic.postivecharger.gap3,1076
3155,CKSAAP_NN.gap3,1076
32,CKSAAGP_postivecharger.postivecharger.gap0,1076
3020,CKSAAP_EV.gap3,1076
2891,CKSAAP_SN.gap2,1076
687,DDE_AR,1076
695,DDE_CD,1076
3213,CKSAAP_SA.gap3,1076
37,CKSAAGP_negativecharger.postivecharger.gap0,1076
3824,OVP_Charged_C2,1076
563,CTriad_g4.g1.g3,1076
3233,CKSAAP_TA.gap3,1076
1559,GTPC_uncharger.alphaticr.aromatic,1076
1096,DPC_CG,1076
651,CTriad_g6.g4.g1,1076
684,DDE_AN,1076
3320,DDR_H,1076
133,CKSAAGP_postivecharger.negativecharger.gap4,1076
671,CTriad_g7.g2.g2,1076
173,CTDC_hydrophobicity_ARGP820101.G1,1076
1561,GTPC_uncharger.alphaticr.negativecharger,1076
66,CKSAAGP_uncharger.aromatic.gap1,1076
2542,CKSAAP_SI.gap1,1076
2456,CKSAAP_ML.gap1,1076
3324,DDR_M,1076
168,CKSAAGP_uncharger.negativecharger.gap5,1076
3287,CKSAAP_YV.gap3,1076
153,CKSAAGP_aromatic.negativecharger.gap5,1076
681,DDE_AK,1076
678,DDE_AG,1076
162,CKSAAGP_negativecharger.postivecharger.gap5,1076
154,CKSAAGP_aromatic.uncharger.gap5,1076
702,DDE_CL,1076
3293,PAAC_Xc1.C,1076
3301,PAAC_Xc1.M,1076
137,CKSAAGP_negativecharger.postivecharger.gap4,1076
1553,GTPC_negativecharger.uncharger.alphaticr,1076
1817,APAAC_Pc1.C,1076
3802,OVP_Aliphatic_N4,1076
1474,GTPC_alphaticr.negativecharger.aromatic,1076
686,DDE_AQ,1076
2412,CKSAAP_KD.gap1,1076
111,CKSAAGP_negativecharger.aromatic.gap3,1076
2415,CKSAAP_KG.gap1,1076
2490,CKSAAP_PL.gap1,1076
2489,CKSAAP_PK.gap1,1076
2419,CKSAAP_KL.gap1,1076
1830,APAAC_Pc1.W,1076
2422,CKSAAP_KP.gap1,1076
3251,CKSAAP_TY.gap3,1076
3252,CKSAAP_VA.gap3,1076
2425,CKSAAP_KS.gap1,1076
2477,CKSAAP_NT.gap1,1076
73,CKSAAGP_alphaticr.negativecharger.gap2,1076
2433,CKSAAP_LF.gap1,1076
141,CKSAAGP_uncharger.aromatic.gap4,1076
1570,GTPC_uncharger.postivecharger.postivecharger,1076
61,CKSAAGP_negativecharger.aromatic.gap1,1076
62,CKSAAGP_negativecharger.postivecharger.gap1,1076
128,CKSAAGP_aromatic.negativecharger.gap4,1076
2549,CKSAAP_SR.gap1,1076
129,CKSAAGP_aromatic.uncharger.gap4,1076
1473,GTPC_alphaticr.negativecharger.alphaticr,1076
2496,CKSAAP_PS.gap1,1076
747,DDE_ER,1076
1002,DDE_TL,1076
1055,DDE_YD,1076
3505,ABHPRK__67,1076
840,DDE_KI,1076
841,DDE_KK,1076
444,CTriad_g1.g1.g2,1076
492,CTriad_g2.g2.g4,1076
849,DDE_KT,1076
435,CTDT_charge.Tr1331,1076
738,DDE_EG,1076
855,DDE_LD,1076
864,DDE_LN,1076
866,DDE_LQ,1076
3784,OVP_Charged_N2,1076
869,DDE_LT,1076
870,DDE_LV,1076
838,DDE_KG,1076
872,DDE_LY,1076
2838,CKSAAP_PN.gap2,1076
3491,ABHPRK__52,1076
2583,CKSAAP_VK.gap1,1076
903,DDE_NM,1076
909,DDE_NT,1076
916,DDE_PE,1076
3788,OVP_Negative_N3,1076
2609,CKSAAP_YN.gap1,1076
3790,OVP_Polar_N3,1076
932,DDE_PY,1076
933,DDE_QA,1076
939,DDE_QH,1076
940,DDE_QI,1076
2355,CKSAAP_GA.gap1,1076
873,DDE_MA,1076
486,CTriad_g2.g1.g5,1076
829,DDE_IT,1076
823,DDE_IM,1076
477,CTriad_g1.g6.g4,1076
475,CTriad_g1.g6.g2,1076
760,DDE_FI,1076
3760,OVPC_Polar,1076
764,DDE_FN,1076
2301,CKSAAP_DE.gap1,1076
770,DDE_FV,1076
772,DDE_FY,1076
773,DDE_GA,1076
774,DDE_GC,1076
780,DDE_GI,1076
781,DDE_GK,1076
3770,OVP_Polar_N1,1076
791,DDE_GW,1076
792,DDE_GY,1076
3531,ABHPRK__95,1076
2661,CKSAAP_DV.gap2,1076
2271,CKSAAP_AG.gap1,1076
448,CTriad_g1.g1.g6,1076
820,DDE_II,1076
3512,ABHPRK__75,1076
818,DDE_IG,1076
482,CTriad_g2.g1.g1,1076
3458,ABHPRK__14,1076
2629,CKSAAP_AP.gap2,1076
3524,ABHPRK__88,1076
802,DDE_HL,1076
800,DDE_HI,1076
799,DDE_HH,1076
3529,ABHPRK__93,1076
2823,CKSAAP_NS.gap2,1076
456,CTriad_g1.g3.g1,1076
945,DDE_QP,1076
498,CTriad_g2.g3.g3,1076
3455,ABHPRK__10,1076
962,DDE_RL,1076
2376,CKSAAP_HD.gap1,1076
542,CTriad_g3.g4.g2,1076
2374,CKSAAP_GY.gap1,1076
3427,QSO3_G_S,1076
965,DDE_RP,1076
524,CTriad_g3.g1.g2,1076
1017,DDE_VF,1076
973,DDE_SA,1076
3430,QSO3_G_V,1076
722,DDE_DL,1076
1010,DDE_TV,1076
529,CTriad_g3.g2.g1,1076
1008,DDE_TS,1076
531,CTriad_g3.g2.g3,1076
984,DDE_SN,1076
1004,DDE_TN,1076
986,DDE_SQ,1076
746,DDE_EQ,1076
987,DDE_SR,1076
994,DDE_TC,1076
995,DDE_TD,1076
976,DDE_SE,1076
1028,DDE_VS,1076
1022,DDE_VL,1076
2364,CKSAAP_GL.gap1,1076
949,DDE_QT,1076
950,DDE_QV,1076
718,DDE_DG,1076
520,CTriad_g2.g6.g6,1076
556,CTriad_g3.g6.g4,1076
3410,QSO3_SC_W,1076
12,AAC_M,1076
2880,CKSAAP_SA.gap2,1076
23,CKSAAGP_alphaticr.negativecharger.gap0,1076
3411,QSO3_SC_Y,1076
947,DDE_QR,1076
1030,DDE_VV,1076
21,CKSAAGP_alphaticr.aromatic.gap0,1076
3423,QSO3_G_K,1076
2875,CKSAAP_RR.gap2,1076
18,AAC_Y,1076
3038,CKSAAP_FV.gap3,1076
3422,QSO3_G_L,1076
2829,CKSAAP_PD.gap2,1191
750,DDE_EV,1191
1821,APAAC_Pc1.H,1191
1025,DDE_VP,1191
752,DDE_EY,1191
3776,OVP_Imino_acid_N1,1191
3261,CKSAAP_VL.gap3,1191
2801,CKSAAP_ML.gap2,1191
759,DDE_FH,1191
2486,CKSAAP_PG.gap1,1191
3771,OVP_Hydrophobic_N1,1191
3428,QSO3_G_T,1191
451,CTriad_g1.g2.g2,1191
452,CTriad_g1.g2.g3,1191
46,CKSAAGP_alphaticr.aromatic.gap1,1191
83,CKSAAGP_postivecharger.negativecharger.gap2,1191
56,CKSAAGP_postivecharger.aromatic.gap1,1191
499,CTriad_g2.g3.g4,1191
579,CTriad_g4.g4.g1,1191
3339,RRI_I,1191
2617,CKSAAP_AA.gap2,1191
3110,CKSAAP_LA.gap3,1191
892,DDE_MY,1191
2555,CKSAAP_TA.gap1,1191
3798,OVP_Negative_N4,1191
2361,CKSAAP_GH.gap1,1191
2622,CKSAAP_AG.gap2,1191
3347,RRI_S,1191
3812,OVP_Aliphatic_C1,1191
577,CTriad_g4.g3.g5,1191
867,DDE_LR,1191
3494,ABHPRK__55,1191
443,CTriad_g1.g1.g1,1191
844,DDE_KN,1191
2913,CKSAAP_TS.gap2,1191
848,DDE_KS,1191
2441,CKSAAP_LP.gap1,1191
1552,GTPC_negativecharger.negativecharger.uncharger,1191
850,DDE_KV,1191
863,DDE_LM,1191
3830,OVP_Polar_C3,1191
857,DDE_LF,1191
997,DDE_TF,1191
2652,CKSAAP_DK.gap2,2525
2676,CKSAAP_EQ.gap2,2525
2651,CKSAAP_DI.gap2,2525
2653,CKSAAP_DL.gap2,2525
3840,OVP_Polar_C4,2525
3841,OVP_Hydrophobic_C4,2525
2680,CKSAAP_EV.gap2,2525
2678,CKSAAP_ES.gap2,2525
2679,CKSAAP_ET.gap2,2525
2650,CKSAAP_DH.gap2,2525
2674,CKSAAP_EN.gap2,2525
2649,CKSAAP_DG.gap2,2525
2681,CKSAAP_EY.gap2,2525
2677,CKSAAP_ER.gap2,2525
3838,OVP_Negative_C4,2525
2666,CKSAAP_EE.gap2,2525
2654,CKSAAP_DM.gap2,2525
3832,OVP_Aliphatic_C3,2525
2667,CKSAAP_EF.gap2,2525
2664,CKSAAP_EC.gap2,2525
2663,CKSAAP_EA.gap2,2525
2668,CKSAAP_EG.gap2,2525
2669,CKSAAP_EH.gap2,2525
2670,CKSAAP_EI.gap2,2525
3836,OVP_Imino_acid_C3,2525
2673,CKSAAP_EM.gap2,2525
2660,CKSAAP_DT.gap2,2525
2665,CKSAAP_ED.gap2,2525
2659,CKSAAP_DS.gap2,2525
2658,CKSAAP_DR.gap2,2525
2657,CKSAAP_DQ.gap2,2525
2656,CKSAAP_DP.gap2,2525
3837,OVP_Aromatic_C4,2525
2672,CKSAAP_EL.gap2,2525
2655,CKSAAP_DN.gap2,2525
2671,CKSAAP_EK.gap2,2525
3829,OVP_Positive_C3,2525
2740,CKSAAP_IF.gap2,2525
3827,OVP_Aromatic_C3,2525
2769,CKSAAP_KR.gap2,2525
2768,CKSAAP_KQ.gap2,2525
2767,CKSAAP_KP.gap2,2525
2765,CKSAAP_KM.gap2,2525
2764,CKSAAP_KL.gap2,2525
2763,CKSAAP_KK.gap2,2525
2762,CKSAAP_KI.gap2,2525
2761,CKSAAP_KH.gap2,2525
2760,CKSAAP_KG.gap2,2525
2759,CKSAAP_KF.gap2,2525
2758,CKSAAP_KE.gap2,2525
2757,CKSAAP_KD.gap2,2525
2756,CKSAAP_KC.gap2,2525
3815,OVP_Small_C1,2525
2753,CKSAAP_IV.gap2,2525
2752,CKSAAP_IT.gap2,2525
2751,CKSAAP_IS.gap2,2525
2750,CKSAAP_IR.gap2,2525
2749,CKSAAP_IQ.gap2,2525
2748,CKSAAP_IP.gap2,2525
2747,CKSAAP_IN.gap2,2525
2746,CKSAAP_IM.gap2,2525
2745,CKSAAP_IL.gap2,2525
2744,CKSAAP_IK.gap2,2525
2743,CKSAAP_II.gap2,2525
2742,CKSAAP_IH.gap2,2525
2741,CKSAAP_IG.gap2,2525
2770,CKSAAP_KS.gap2,2525
2648,CKSAAP_DF.gap2,2525
2771,CKSAAP_KT.gap2,2525
2773,CKSAAP_KW.gap2,2525
2803,CKSAAP_MP.gap2,2525
2802,CKSAAP_MN.gap2,2525
2800,CKSAAP_MK.gap2,2525
2799,CKSAAP_MI.gap2,2525
2798,CKSAAP_MG.gap2,2525
2797,CKSAAP_ME.gap2,2525
2796,CKSAAP_MD.gap2,2525
2795,CKSAAP_MA.gap2,2525
2794,CKSAAP_LY.gap2,2525
2793,CKSAAP_LW.gap2,2525
2792,CKSAAP_LV.gap2,2525
2791,CKSAAP_LT.gap2,2525
2790,CKSAAP_LS.gap2,2525
2789,CKSAAP_LR.gap2,2525
2788,CKSAAP_LQ.gap2,2525
2787,CKSAAP_LP.gap2,2525
2786,CKSAAP_LN.gap2,2525
2785,CKSAAP_LM.gap2,2525
2783,CKSAAP_LK.gap2,2525
2782,CKSAAP_LI.gap2,2525
2781,CKSAAP_LH.gap2,2525
2779,CKSAAP_LF.gap2,2525
2778,CKSAAP_LE.gap2,2525
2777,CKSAAP_LD.gap2,2525
2776,CKSAAP_LC.gap2,2525
2775,CKSAAP_LA.gap2,2525
2774,CKSAAP_KY.gap2,2525
2772,CKSAAP_KV.gap2,2525
3828,OVP_Negative_C3,2525
2739,CKSAAP_IE.gap2,2525
2736,CKSAAP_IA.gap2,2525
2702,CKSAAP_GD.gap2,2525
2701,CKSAAP_GC.gap2,2525
2700,CKSAAP_GA.gap2,2525
2699,CKSAAP_FY.gap2,2525
2698,CKSAAP_FV.gap2,2525
2697,CKSAAP_FT.gap2,2525
2696,CKSAAP_FS.gap2,2525
2695,CKSAAP_FR.gap2,2525
2694,CKSAAP_FQ.gap2,2525
2693,CKSAAP_FP.gap2,2525
2692,CKSAAP_FN.gap2,2525
2691,CKSAAP_FM.gap2,2525
2690,CKSAAP_FL.gap2,2525
2689,CKSAAP_FK.gap2,2525
2688,CKSAAP_FI.gap2,2525
2687,CKSAAP_FH.gap2,2525
2686,CKSAAP_FG.gap2,2525
2685,CKSAAP_FF.gap2,2525
2684,CKSAAP_FE.gap2,2525
2683,CKSAAP_FD.gap2,2525
3816,OVP_Imino_acid_C1,2525
3817,OVP_Aromatic_C2,2525
3818,OVP_Negative_C2,2525
3819,OVP_Positive_C2,2525
3822,OVP_Aliphatic_C2,2525
3823,OVP_Tiny_C2,2525
3826,OVP_Imino_acid_C2,2525
2703,CKSAAP_GE.gap2,2525
2737,CKSAAP_IC.gap2,2525
2704,CKSAAP_GF.gap2,2525
2707,CKSAAP_GI.gap2,2525
2735,CKSAAP_HY.gap2,2525
2734,CKSAAP_HV.gap2,2525
2733,CKSAAP_HT.gap2,2525
2732,CKSAAP_HS.gap2,2525
2731,CKSAAP_HR.gap2,2525
2730,CKSAAP_HQ.gap2,2525
2729,CKSAAP_HP.gap2,2525
2728,CKSAAP_HN.gap2,2525
2727,CKSAAP_HL.gap2,2525
2726,CKSAAP_HK.gap2,2525
2725,CKSAAP_HI.gap2,2525
2724,CKSAAP_HG.gap2,2525
2723,CKSAAP_HF.gap2,2525
2722,CKSAAP_HE.gap2,2525
2721,CKSAAP_HD.gap2,2525
2720,CKSAAP_HA.gap2,2525
2719,CKSAAP_GY.gap2,2525
2718,CKSAAP_GW.gap2,2525
2717,CKSAAP_GV.gap2,2525
2716,CKSAAP_GT.gap2,2525
2715,CKSAAP_GS.gap2,2525
2714,CKSAAP_GR.gap2,2525
2713,CKSAAP_GQ.gap2,2525
2712,CKSAAP_GP.gap2,2525
2711,CKSAAP_GN.gap2,2525
2710,CKSAAP_GM.gap2,2525
2708,CKSAAP_GK.gap2,2525
2705,CKSAAP_GG.gap2,2525
2647,CKSAAP_DE.gap2,2525
2465,CKSAAP_NF.gap1,2525
2645,CKSAAP_DC.gap2,2525
2409,CKSAAP_IY.gap1,2525
2411,CKSAAP_KC.gap1,2525
2413,CKSAAP_KE.gap1,2525
2414,CKSAAP_KF.gap1,2525
2416,CKSAAP_KH.gap1,2525
2417,CKSAAP_KI.gap1,2525
2418,CKSAAP_KK.gap1,2525
2420,CKSAAP_KM.gap1,2525
2421,CKSAAP_KN.gap1,2525
2423,CKSAAP_KQ.gap1,2525
2424,CKSAAP_KR.gap1,2525
2426,CKSAAP_KT.gap1,2525
2427,CKSAAP_KV.gap1,2525
2428,CKSAAP_KY.gap1,2525
2429,CKSAAP_LA.gap1,2525
2408,CKSAAP_IV.gap1,2525
2430,CKSAAP_LC.gap1,2525
2407,CKSAAP_IT.gap1,2525
2405,CKSAAP_IR.gap1,2525
2388,CKSAAP_HT.gap1,2525
2389,CKSAAP_HV.gap1,2525
2390,CKSAAP_HY.gap1,2525
2392,CKSAAP_IC.gap1,2525
2393,CKSAAP_ID.gap1,2525
2394,CKSAAP_IE.gap1,2525
2395,CKSAAP_IF.gap1,2525
2396,CKSAAP_IG.gap1,2525
2397,CKSAAP_IH.gap1,2525
2398,CKSAAP_II.gap1,2525
2399,CKSAAP_IK.gap1,2525
2401,CKSAAP_IM.gap1,2525
2402,CKSAAP_IN.gap1,2525
2403,CKSAAP_IP.gap1,2525
2404,CKSAAP_IQ.gap1,2525
2406,CKSAAP_IS.gap1,2525
2387,CKSAAP_HS.gap1,2525
2431,CKSAAP_LD.gap1,2525
2435,CKSAAP_LH.gap1,2525
2457,CKSAAP_MP.gap1,2525
2458,CKSAAP_MR.gap1,2525
2459,CKSAAP_MS.gap1,2525
2460,CKSAAP_MT.gap1,2525
2461,CKSAAP_MV.gap1,2525
2462,CKSAAP_NA.gap1,2525
2463,CKSAAP_ND.gap1,2525
2464,CKSAAP_NE.gap1,2525
2804,CKSAAP_MQ.gap2,2525
2467,CKSAAP_NH.gap1,2525
2468,CKSAAP_NI.gap1,2525
2469,CKSAAP_NK.gap1,2525
3844,OVP_Charged_C4,2525
2471,CKSAAP_NM.gap1,2525
2472,CKSAAP_NN.gap1,2525
2455,CKSAAP_MK.gap1,2525
2432,CKSAAP_LE.gap1,2525
2454,CKSAAP_MI.gap1,2525
2452,CKSAAP_MF.gap1,2525
2436,CKSAAP_LI.gap1,2525
2437,CKSAAP_LK.gap1,2525
2438,CKSAAP_LL.gap1,2525
2439,CKSAAP_LM.gap1,2525
2440,CKSAAP_LN.gap1,2525
2442,CKSAAP_LQ.gap1,2525
2443,CKSAAP_LR.gap1,2525
2444,CKSAAP_LS.gap1,2525
2445,CKSAAP_LT.gap1,2525
2446,CKSAAP_LV.gap1,2525
2447,CKSAAP_LW.gap1,2525
2448,CKSAAP_LY.gap1,2525
2449,CKSAAP_MA.gap1,2525
2450,CKSAAP_MD.gap1,2525
2451,CKSAAP_ME.gap1,2525
2453,CKSAAP_MG.gap1,2525
2386,CKSAAP_HR.gap1,2525
2385,CKSAAP_HQ.gap1,2525
2384,CKSAAP_HP.gap1,2525
2322,CKSAAP_EG.gap1,2525
2323,CKSAAP_EH.gap1,2525
2324,CKSAAP_EI.gap1,2525
2325,CKSAAP_EK.gap1,2525
2326,CKSAAP_EL.gap1,2525
2327,CKSAAP_EM.gap1,2525
2328,CKSAAP_EN.gap1,2525
2329,CKSAAP_EP.gap1,2525
2330,CKSAAP_EQ.gap1,2525
2331,CKSAAP_ER.gap1,2525
2332,CKSAAP_ES.gap1,2525
2333,CKSAAP_ET.gap1,2525
2334,CKSAAP_EV.gap1,2525
2335,CKSAAP_EW.gap1,2525
2336,CKSAAP_EY.gap1,2525
2321,CKSAAP_EF.gap1,2525
2337,CKSAAP_FA.gap1,2525
2320,CKSAAP_EE.gap1,2525
2318,CKSAAP_EC.gap1,2525
2302,CKSAAP_DF.gap1,2525
2303,CKSAAP_DG.gap1,2525
2304,CKSAAP_DH.gap1,2525
2305,CKSAAP_DI.gap1,2525
2306,CKSAAP_DK.gap1,2525
2307,CKSAAP_DL.gap1,2525
2309,CKSAAP_DN.gap1,2525
2310,CKSAAP_DP.gap1,2525
2311,CKSAAP_DQ.gap1,2525
2312,CKSAAP_DR.gap1,2525
2313,CKSAAP_DS.gap1,2525
2314,CKSAAP_DT.gap1,2525
2315,CKSAAP_DV.gap1,2525
2316,CKSAAP_DY.gap1,2525
2317,CKSAAP_EA.gap1,2525
2319,CKSAAP_ED.gap1,2525
2338,CKSAAP_FD.gap1,2525
2339,CKSAAP_FE.gap1,2525
2340,CKSAAP_FF.gap1,2525
2366,CKSAAP_GN.gap1,2525
2367,CKSAAP_GP.gap1,2525
2368,CKSAAP_GQ.gap1,2525
2369,CKSAAP_GR.gap1,2525
2370,CKSAAP_GS.gap1,2525
2372,CKSAAP_GV.gap1,2525
2373,CKSAAP_GW.gap1,2525
2375,CKSAAP_HA.gap1,2525
2377,CKSAAP_HE.gap1,2525
2378,CKSAAP_HF.gap1,2525
2379,CKSAAP_HG.gap1,2525
2380,CKSAAP_HI.gap1,2525
2381,CKSAAP_HK.gap1,2525
